"TestId","LocalComputerName","TargetDomain","TargetServerName","TargetIpAddress","Protocol","Port","Service","Status","TcpTestSucceeded","PingSucceeded","SourceAddress","RemoteAddress","ResolvedAddresses","StartedAt","DurationMs","ErrorMessage"
"EXAD0001","SRC-DC01","target.example.local","TGT-DC01.target.example.local","198.51.100.21","ICMP","","ICMP","Pass","","True","192.0.2.11","198.51.100.21","198.51.100.21","2026-06-08T09:00:00","19",""
"EXAD0002","SRC-DC01","target.example.local","TGT-DC01.target.example.local","198.51.100.21","TCP","53","DNS","Pass","True","True","192.0.2.11","198.51.100.21","198.51.100.21","2026-06-08T09:00:01","26",""
"EXAD0003","SRC-DC01","target.example.local","TGT-DC01.target.example.local","198.51.100.21","TCP","88","Kerberos","Pass","True","True","192.0.2.11","198.51.100.21","198.51.100.21","2026-06-08T09:00:02","27",""
"EXAD0004","SRC-DC01","target.example.local","TGT-DC01.target.example.local","198.51.100.21","TCP","135","RPC Endpoint Mapper","Pass","True","True","192.0.2.11","198.51.100.21","198.51.100.21","2026-06-08T09:00:03","28",""
"EXAD0005","SRC-DC01","target.example.local","TGT-DC01.target.example.local","198.51.100.21","TCP","139","NetBIOS Session Service","Pass","True","True","192.0.2.11","198.51.100.21","198.51.100.21","2026-06-08T09:00:04","29",""
"EXAD0006","SRC-DC01","target.example.local","TGT-DC01.target.example.local","198.51.100.21","TCP","389","LDAP","Pass","True","True","192.0.2.11","198.51.100.21","198.51.100.21","2026-06-08T09:00:05","30",""
"EXAD0007","SRC-DC01","target.example.local","TGT-DC01.target.example.local","198.51.100.21","TCP","445","SMB / Microsoft-DS","Pass","True","True","192.0.2.11","198.51.100.21","198.51.100.21","2026-06-08T09:00:06","31",""
"EXAD0008","SRC-DC01","target.example.local","TGT-DC01.target.example.local","198.51.100.21","TCP","464","Kerberos Password Change / Set","Pass","True","True","192.0.2.11","198.51.100.21","198.51.100.21","2026-06-08T09:00:07","32",""
"EXAD0009","SRC-DC01","target.example.local","TGT-DC01.target.example.local","198.51.100.21","TCP","636","LDAPS","Pass","True","True","192.0.2.11","198.51.100.21","198.51.100.21","2026-06-08T09:00:08","24",""
"EXAD0010","SRC-DC01","target.example.local","TGT-DC01.target.example.local","198.51.100.21","TCP","3268","Global Catalog","Pass","True","True","192.0.2.11","198.51.100.21","198.51.100.21","2026-06-08T09:00:09","25",""
